Link Margin (dB),Attenuation (dB/km),Timestamp,Temperature (°C),Humidity (%),Rain Intensity (mm/hr),Fog Density (dB/km),SNR (FSO) (dB),SNR (RF) (dB),RSSI (RF) (dBm),Optical Attenuation (FSO) (dB/km),BER (FSO),BER (RF),Transmission Range (km),Modulation Scheme,Noise Figure (dB),Power Level (dBm),Optimal Link,Wind Speed (km/h),Air Pressure (hPa),Visibility (km),Weather Condition,Traffic Load (%),FSO Reliability,RF Reliability,Hybrid Score,Solar Radiation (W/m²),Cloud Cover (%),Urban Interference (dB)
8.186554407136775,0.33435420511627373,2025-01-01 00:00:00,4.373838023774273,2.6437249411749963,9.947189307182416,-3.297456285431359,-17.322003151967046,17.140451716561586,5.412950225972114,8.654436926761218,0.0001,1e-05,38.596978920681316,QPSK,-12.920302762030655,19.45870497740279,RF,31.944343424955914,21.62534097844769,31.82329858967888,Rainy,67.66914846072294,-1.7942012862450873,2.6727872683532845,0.4392929910540986,375.56660535542653,4.3165085822320926,14.865917538069088
11.092370584437095,2.7572359853116803,2025-01-01 00:01:00,2.0068607424545637,59.52739780400586,6.374177545078625,-16.69931916735441,9.981834097748905,-8.352745560664147,22.179118137473942,10.753289892614571,0.0001,0.001,1.9558395524865977,QPSK,-6.615225160080856,24.674182292583048,Hybrid,9.621333323557803,29.817789957565637,7.051075152714396,Rainy,75.52199659664923,0.84928000491345,-0.36035648600281167,0.24446175945531917,698.7086436936768,82.5187478639512,4.384181824222439
8.824592471309153,3.163627093588743,2025-01-01 00:02:00,7.7217590224875625,27.437453146873924,6.360817338097014,8.274016498178096,22.98259305811775,-5.243641401628906,26.658778162423317,12.84676532280342,1e-06,0.001,18.40710095666061,16-QAM,-4.532404323934223,21.45220966870223,Hybrid,5.6947430148209675,19.308114446743726,24.37866151382039,Rainy,42.92845973890108,1.6597806435174483,-0.18958326253011482,0.7350986904936667,104.93191259876389,0.6077252032724689,3.2593552076229395
17.24724213114093,2.2459687797453407,2025-01-01 00:03:00,9.988144600296675,0.6160076221683464,3.7236165017853073,27.09674364950017,29.032520286981743,10.591306813994478,-10.250136300587403,-19.37273187393883,1e-06,0.001,40.083900843182406,64-QAM,-6.007379223626861,30.0,FSO,21.60050687002767,21.452639021871796,36.20907403380609,Foggy,25.457031220338216,-1.580196156248462,0.941438088482668,-0.31937903388289707,789.9582829125452,65.39889679146914,4.953524832466964
7.536506840114049,4.12999269055681,2025-01-01 00:04:00,3.163833688522435,15.592401695352775,6.1836695804294495,-14.397969264603415,-13.47071309262951,24.382331806294133,-15.362391576175543,5.174554311480545,0.0001,1e-05,17.768731831946987,BPSK,4.581371762427608,21.536239157617555,RF,47.44449333553696,11.50412041184228,20.753777044361,Rainy,89.13753978394017,-2.181649462145468,1.4901447439869377,-0.34575235907926505,736.7863296481504,20.776442677991614,11.358716746095435
6.619351183053827,3.8774071154995142,2025-01-01 00:05:00,4.3668442630753965,41.00308471777506,9.686058996587764,3.0131166944768033,20.667316095687035,9.289415772409,-14.65854098447133,-8.32236372414487,1e-06,0.001,16.304589253556536,64-QAM,23.069037109768274,30.0,FSO,36.316173625429755,24.02961187401071,48.55430153209372,Rainy,31.77963511699535,-2.822492418334577,0.5932491272093211,-1.114621645562628,822.2749536620053,26.95859766936749,7.0021652798799785
11.97353943897271,1.3610008792338832,2025-01-01 00:06:00,8.014731259457262,65.15072512600464,9.043775425666592,-17.743382642661565,-17.212337142151352,10.376846470832756,2.570644233257898,-12.76938527370966,0.0001,0.001,21.39937211909769,QPSK,0.03382399426015681,19.74293557667421,RF,32.102288870319036,44.889851771349484,26.81934363349563,Rainy,66.57811696188207,1.462466963385089,2.906155246210233,2.1843111047976613,690.8858167158905,44.16591639328372,8.812566182788517
12.737785510880336,4.872369537625399,2025-01-01 00:07:00,7.087349156961266,69.3317220274907,5.862228940711626,0.7583609893863326,18.786029393922036,1.709837836819716,-2.655202499233532,18.11586111373782,0.0001,0.001,29.594681336993634,QPSK,-14.90197188367957,20.90082655385165,Hybrid,23.283057675612575,14.550677060931442,29.31677248648974,Rainy,73.62397112718563,0.9827456520083865,0.4677819730037545,0.7252638125060705,504.68282848039973,58.91289338884279,5.592983007963999
16.013888940327355,0.9542898834510758,2025-01-01 00:08:00,5.673871852623435,19.747061187974168,3.8280066473727246,8.894444588787593,0.05792972702981203,-11.321392510435368,16.421681980998812,-3.802379096636624,0.0001,0.001,36.54308254728276,16-QAM,18.186672142766334,27.25269255668111,Hybrid,48.87539228872053,37.66747618647107,28.23906970197857,Stormy,53.36592826054349,-0.020671624013802584,-0.649844976092618,-0.33525830005321033,737.3716321302753,47.88968484020917,14.281061960763301
9.261485565892198,3.0239731826648324,2025-01-01 00:09:00,5.097746700214404,27.671168337994512,5.786583397087023,9.063014522010196,7.654609368509735,19.08830262135386,28.777289266169262,24.6054790391295,0.0001,1e-05,20.034654901300563,QPSK,-11.038338442722411,17.122271073383075,RF,29.519779192487103,15.992889662867938,3.7682340397885525,Rainy,39.82872387745455,0.29894419693582763,0.6410356043738531,0.46998990065484036,306.50222085226926,97.48270750011041,3.2609184803742224
18.246217485329492,2.632559053737653,2025-01-01 00:10:00,0.458444801303598,23.691909428821344,0.7144961280598949,-11.218189337640931,23.9515032967729,20.035842765032022,29.661681687612905,-14.801845659185101,1e-06,1e-05,22.674658742114996,16-QAM,4.55337751070633,30.0,FSO,41.71140711451103,5.8970967708582505,24.82975281960378,Stormy,53.836013764084676,-1.7353840847244382,0.6534489193763419,-0.5409675826740481,834.9181361829019,31.99025186187754,12.108374557689435
19.413113569762004,4.588902859730826,2025-01-01 00:11:00,3.3279208251260672,28.334015237099386,9.916878400623295,-11.045530774828048,-11.203497893329827,-6.77213295122424,0.050799835885875666,-1.4491593339496731,0.0001,0.001,40.65683174635712,QPSK,29.562052037524282,28.0,Hybrid,17.84494092946226,28.178478515390818,47.390526830446206,Rainy,55.384004497752166,24.943259655347923,-6.4447411580674645,9.249259248640229,462.2179986650435,90.6176973676042,1.5955608560309387
18.01132176771405,2.0342500063799993,2025-01-01 00:12:00,1.6107123149334435,73.10782604110554,7.653202781418605,8.702216621636538,25.400791553418948,-19.520160780138966,-9.990319796616863,24.164691861260522,1e-06,0.001,6.259669893240337,QPSK,-2.457777576149372,23.823873845344004,Hybrid,4.311384391721465,26.554052891238666,25.8569953060341,Rainy,50.180725941445516,1.0093821809327173,-1.7761230920821642,-0.3833704555747235,613.9703315220551,29.692924586945303,9.492054178707608
15.31668603764062,0.36844317007605587,2025-01-01 00:13:00,3.500334342953141,2.868188016709916,1.7916214971321476,25.223170680460775,20.21377799979861,0.7281212745808787,-7.6128816996537605,-4.082626091991052,1e-06,0.001,2.4610267053584183,64-QAM,18.12061030585798,30.0,FSO,6.482021673328907,15.549547873926826,37.00190002202272,Foggy,64.87531058469588,-6.557323981755644,0.0845386364252686,-3.236392672665188,877.4764665379261,34.47205955267453,13.111584723097087
12.026735451162015,0.9851211175774297,2025-01-01 00:14:00,0.38977011714643184,65.77726743800842,9.108591674408773,-18.70906781181135,11.718519230489296,-14.824664859620922,29.106103195310737,2.2197685220692094,0.0001,0.001,30.943461226953847,QPSK,18.878579684142956,25.621229125826325,Hybrid,4.985499325650413,36.29803845405841,48.416775340403994,Rainy,13.231300104261452,3.6395533250813625,-0.492413938909569,1.5735696930858967,659.9624696338017,97.81330613154677,8.752665579912978
8.71308103272455,4.349193414821184,2025-01-01 00:15:00,8.569235039352446,66.43217186402927,1.1427201096611206,-5.20752388517916,18.048164684832074,16.41601568911537,25.771231188268622,7.1542799628459335,0.0001,1e-05,26.416701977185973,QPSK,25.199166045461595,17.42287688117314,RF,17.398879963093236,35.893190752170796,36.81519803016878,Clear,21.904578620653226,2.2133364033448104,0.6131961422943075,1.413266272819559,502.63010237303075,89.00394561023445,4.896194891343581
8.478330969970935,0.4674049507826995,2025-01-01 00:16:00,6.4788960899999815,35.51010705126735,3.928488669550454,-1.2032160588289535,9.236250088954424,22.22200226621939,20.51003414392494,24.491992376050973,0.0001,1e-05,35.83515942590164,BPSK,23.86640906966351,17.948996585607507,RF,21.588613860320805,1.3336770417143582,12.846080499119482,Clear,44.366528415631485,0.36231966308100844,1.0330993487751172,0.6977095059280628,421.5216115767558,84.53589033734107,2.1188020651391417
9.816693656178568,1.4135990091485233,2025-01-01 00:17:00,7.992351178414999,1.4816930106138049,9.58801443342268,-13.16613795259332,17.469407838369875,11.919949582923369,-5.334105114785007,-1.3982706784261616,0.0001,0.001,10.233591473406522,16-QAM,-19.697913969722705,30.0,FSO,18.658138157146173,13.888733734148486,45.87827494176193,Rainy,73.22636811893831,-43.86315333934045,1.8818679777037386,-20.990642680818354,223.94710380272136,46.281025754400254,2.960695005779899
